Parameter,Normal equation,Batch GD,SGD,Max |thetaGD - thetaNormal|
theta0 intercept,6796.260071156286,6750.581646309672,6792.355354465281,4102.051806174824
theta1 irradiation,8195.271444739206,4093.2196385643824,7594.147940829134,
theta2 module temp,8.92710566974472,2979.3363041158946,861.9954233845472,
theta3 ambient temp,-28.582328958852514,271.6817324766638,-235.45686599305017,
theta4 sin hour,-30.231892978303648,675.6457872948995,-45.689671835703,
theta5 cos hour,-369.44388565764285,-1213.6623162187584,-376.1304977285264,
