Solver,Features,All hours RMSE (kW),Daytime RMSE (kW)
Normal equation,Set A,561.3804685019243,918.8745387578032
"Batch GD (alpha=0.001, iters=5000)",Set A,1106.3061476289934,1695.1395186590937
"Stochastic GD (alpha=0.01, epochs=50)",Set A,563.5656018355423,924.9564735346993
Normal equation,Set B,2636.4913848530023,3424.877877373784
"Batch GD (alpha=0.001, iters=5000)",Set B,2584.5677402888573,3367.095861055377
"Stochastic GD (alpha=0.01, epochs=50)",Set B,2464.930799036122,3125.9939876960843
